erp_id,province_code,lat,long,sales
4,QC,45.537593,-73.597075,0.089068703
19,QC,45.488636,-73.568175,0.074907199
22,QC,48.3878711,-68.4706861,0.611644047
24,QC,46.7956598,-71.3561663,-0.778826599
37,QC,45.5103107,-73.570841,0.586588388
47,QC,45.7556329,-73.4468086,0.334738698
54,QC,46.835607,-71.2186399,-3.877404457
65,QC,45.473949,-73.603989,-0.742647358
69,QC,45.5182154,-73.5781092,-3.181758322
73,QC,46.8914877,-71.2141851,-0.062047611
75,QC,45.5144682,-73.5569909,0.124456818
76,QC,45.5336184,-73.5959721,-0.706773354
96,QC,46.8679355,-71.1801463,-2.076836479
108,QC,45.5355302,-73.5821607,-0.324044529
109,QC,45.4650792,-73.6259151,0.372979276
112,QC,48.2419444,-79.0310436,0.703887221
124,QC,45.5188044,-73.5560497,-0.338966845
129,QC,45.5129793,-73.6306253,0.448436482
130,QC,45.5486995,-73.5741421,-0.103210311
135,QC,45.500265,-73.5748868,0.072579257
4125,QC,45.4998571,-73.5743404,1.323749081
150,QC,45.510319,-73.5750033,-0.494263664
5020,QC,45.510319,-73.5750033,0.924216104
155,QC,45.4014722,-71.9542829,1.365273372
157,QC,48.4730971,-68.5080816,0.061374818
159,QC,45.4598867,-73.6245821,-3.084698557
184,QC,45.5212833,-73.5946095,0.065976257
190,QC,45.4779637,-73.5610195,-0.697222594
193,QC,46.5543345,-72.7383561,0.884402485
194,QC,46.8349264,-71.23993,0.605669899
196,QC,45.5755873,-73.6471295,-0.360367499
211,QC,45.461001,-73.5924047,0.847759191
220,QC,45.5760842,-73.6555867,3.788434478
236,QC,45.5363773,-73.5801377,-0.54737649
241,QC,45.5220951,-73.4662871,0.772566717
243,QC,46.7865302,-71.2471732,0.901344469
244,QC,45.4860706,-73.4649375,-4.541263507
248,QC,45.5243434,-73.6005277,-0.053191792
3095,QC,45.5255925,-73.6035845,1.502790848
250,QC,45.4814067,-73.6313923,0.325029585
252,QC,45.5050263,-73.5710036,-5.340210992
2936,QC,45.505055,-73.5713924,-0.646501607
253,QC,45.5426053,-73.5878873,0.712245462
